MOMENTUM_FILTER_ENABLED,MOMENTUM_LOOKBACK,MOMENTUM_MIN_PCT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
True,5,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,5,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,5,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,10,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,10,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,10,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,15,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,15,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,20,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,0.0,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,0.02,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,0.0,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,15,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,5,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,5,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,5,0.0,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,5,0.02,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,5,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,5,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,10,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,10,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,10,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,10,0.0,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,10,0.02,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,10,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,10,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,15,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,15,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,5,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,40,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,40,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,40,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,40,0.0,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,40,0.02,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,40,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,40,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,60,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,60,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,60,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,60,0.0,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,60,0.02,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,60,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,0.02,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,60,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,15,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,15,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,15,0.02,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,15,0.0,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,30,-0.15,0.6200270031610001,0.2507588922571282,-0.0955336562757673,1.115707306000703,176,0.5368421052631579,1620027.003161
True,40,-0.1,0.5440827397214004,0.2232151980394219,-0.1248790659202431,1.0254088881255687,153,0.5180722891566265,1544082.7397214004
True,5,0.0,0.5344514670504006,0.21967063984638235,-0.11832594785911306,0.9719116996214224,168,0.5652173913043478,1534451.4670504006
True,40,-0.15,0.5173520618241995,0.2133480998276467,-0.12697786496974045,0.967262039091195,171,0.4945054945054945,1517352.0618241995
True,30,-0.1,0.5071919292862,0.20957326284597122,-0.12428887398865772,0.9617372814512998,177,0.5368421052631579,1507191.9292862
True,15,-0.05,0.5070161861150004,0.20950784838201852,-0.10721964387215979,0.971368244141961,164,0.5393258426966292,1507016.1861150004
True,20,-0.1,0.49557285760779934,0.20523961683536518,-0.11282462103267676,0.9493161746601168,178,0.5463917525773195,1495572.8576077993
True,30,-0.05,0.49201920394859977,0.20391058319999167,-0.1253372789838124,0.931028883297316,156,0.5348837209302325,1492019.2039485998
True,60,-0.15,0.4422391099911998,0.18511185640144268,-0.17099980825343675,0.8459885399245105,165,0.4827586206896552,1442239.1099911998
True,40,-0.05,0.38476698712440044,0.1629702627562124,-0.1625044194567751,0.751790666263692,151,0.5,1384766.9871244004
True,20,-0.05,0.35993036594460065,0.15324939066536625,-0.12904515242575385,0.7217399652111421,176,0.47368421052631576,1359930.3659446007
True,10,0.0,0.3405954747726002,0.14561576518014796,-0.1493813057288882,0.6805241163834118,165,0.48314606741573035,1340595.4747726002
True,5,0.02,0.3228300406658007,0.13854956411459485,-0.18544991578177722,0.6301330426839359,142,0.5135135135135135,1322830.0406658007
True,60,-0.1,0.29807288508679997,0.12861699698958007,-0.16318501906737776,0.6261958185523772,147,0.4935064935064935,1298072.8850868
True,60,0.02,0.19678431872179963,0.0868828074070509,-0.19351256194247288,0.3950074631131942,112,0.5245901639344263,1196784.3187217996
True,15,0.02,0.1951061850203995,0.08617571711355443,-0.22156139944626682,0.38946130515812993,127,0.4852941176470588,1195106.1850203995
True,60,0.05,0.19088442668740033,0.08439449956074885,-0.19910512671956782,0.38250677244032155,102,0.5178571428571429,1190884.4266874003
True,60,-0.05,0.18288407262759981,0.08100972889644442,-0.2068290236622127,0.36944458695756033,121,0.5,1182884.0726275998
True,20,0.05,0.16082884359099878,0.0716145815856597,-0.1350464820610413,0.3581760052901246,65,0.631578947368421,1160828.8435909988
True,30,0.02,0.14119508475399994,0.0631700786722309,-0.1584066523344981,0.2822809347660444,109,0.5166666666666667,1141195.084754
True,40,0.0,0.13955578162380006,0.06246150077045298,-0.20428910289438784,0.26596167010782595,135,0.4931506849315068,1139555.7816238
True,30,0.0,0.13012299003879935,0.05837357655785369,-0.22525984253308837,0.24601609638257835,128,0.4492753623188406,1130122.9900387994
True,40,0.02,0.10446463752720016,0.04716044918169793,-0.18782870499877719,0.19122769335277434,110,0.46551724137931033,1104464.6375272002
True,15,0.0,0.09001848872299958,0.04078571337533621,-0.17874351702126642,0.1569745968787358,152,0.4819277108433735,1090018.4887229996
True,20,0.02,0.0879102395260001,0.039851614381471334,-0.16998042662240018,0.14931446488718048,97,0.5185185185185185,1087910.239526
True,60,0.0,0.07125345430320082,0.03243713298017026,-0.20810290191854558,0.10844327193808874,115,0.45901639344262296,1071253.4543032008
True,40,0.05,0.0664799715853997,0.030300919822877415,-0.17845144206324018,0.08917125934784291,87,0.48936170212765956,1066479.9715853997
True,40,0.1,0.05394160487219994,0.02466525008460163,-0.13396457391464867,0.043990423970908396,56,0.5333333333333333,1053941.6048722
True,10,0.02,0.05205636285660067,0.02381477984692526,-0.21575361679898944,0.06508550087400967,140,0.44594594594594594,1052056.3628566007
True,30,0.05,0.04932890282859933,0.022582920638217985,-0.19359909936888894,0.02936665140771357,75,0.5121951219512195,1049328.9028285993
True,15,0.05,0.006803252479800023,0.0031495216499475287,-0.25086369887500576,-0.09397721795928808,71,0.5,1006803.2524798
True,20,0.0,-0.018356215774799813,-0.008555662001110798,-0.1591980562298187,-0.12702838833685193,128,0.417910447761194,981643.7842252002
True,15,0.1,-0.03047187840399984,-0.014249742013028865,-0.11939750200617863,-0.543460439691824,22,0.6153846153846154,969528.1215960002
True,60,0.1,-0.040310816796599425,-0.018901949185956557,-0.19229394320673784,-0.218128632414993,69,0.3783783783783784,959689.1832034006
True,10,0.05,-0.06813683661019988,-0.032199287823609146,-0.21678857745586172,-0.24998657674344252,107,0.4482758620689655,931863.1633898001
True,5,0.05,-0.07657756754900003,-0.03627487596178314,-0.2691495481565779,-0.31655097098197454,82,0.45454545454545453,923422.432451
True,5,0.1,-0.17051869788220025,-0.08305434902824627,-0.23216693980771083,-1.3048168073464135,17,0.25,829481.3021177998
True,10,0.1,-0.2063688868156001,-0.10165222125992379,-0.2443463562896919,-1.3469267643774128,31,0.47058823529411764,793631.1131843999
True,20,0.1,-0.20694714937799993,-0.10195585769531623,-0.24124934727058897,-1.3598165944681695,28,0.4375,793052.850622
True,30,0.1,-0.2341581930198,-0.11638056101956684,-0.2567469798853576,-1.2467331216689033,45,0.375,765841.8069802
